Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
509,Ish Smith,PG,33,TOT,63,1,1093,5.9,13.7,0.427,0.8,2.2,0.364,5.1,11.6,0.439,0.5,0.8,0.625,0.8,3.8,4.6,7.8,1.4,0.8,2.4,2.5,13
510,Jalen Smith,PF,21,TOT,51,8,925,6.8,13.6,0.503,1.6,4.7,0.328,5.3,8.9,0.596,3,4,0.765,3.9,8,11.9,0.9,0.6,1.6,1.6,3.7,18.3
511,Xavier Sneed,SF,24,TOT,8,0,35,2.1,10.3,0.2,1,8.2,0.125,1,2.1,0.5,0,0,,1,3.1,4.1,0,0,0,0,2.1,5.1
512,Tony Snell,SG,30,TOT,50,12,778,2.8,7.2,0.394,1.9,5.5,0.353,0.9,1.7,0.528,0.1,0.1,1,0.7,3.9,4.6,1.2,0.6,0.4,0.8,3,7.7
513,Jaden Springer,SG,19,PHI,2,0,6,6,6,1,0,0,,6,6,1,0,0,,6,6,12,0,0,12,6,0,12
514,Cassius Stanley,SG,22,DET,9,1,155,4.4,10.7,0.413,0.9,3.9,0.235,3.5,6.7,0.517,2.3,2.3,1,1.2,3.3,4.4,0.9,1.2,0.5,1.4,3.9,12.1
515,Nik Stauskas,SG,28,TOT,8,0,39,4.6,12.9,0.357,3.7,9.2,0.4,0.9,3.7,0.25,3.7,5.5,0.667,0.9,1.8,2.8,1.8,0,0,0.9,0.9,16.6
516,Lance Stephenson,SG-SF,31,TOT,44,1,777,6.5,14.4,0.455,1.2,4.1,0.295,5.3,10.3,0.518,2.6,3.3,0.792,0.6,5.1,5.7,7.2,1,0.1,3.2,4.2,16.9
517,Lamar Stevens,PF,24,CLE,61,13,979,5.6,11.2,0.497,0.7,2.3,0.29,4.9,8.9,0.55,1.9,2.8,0.707,1.7,4.2,5.8,1.5,1.1,0.6,1.4,3.8,13.7
518,Isaiah Stewart,C,20,DET,69,69,1776,5,9.7,0.51,0.2,0.8,0.3,4.7,8.9,0.53,1.5,2,0.713,4.5,7.7,12.1,1.5,0.4,1.5,1.7,4.2,11.6
519,Max Strus,SF,25,MIA,67,15,1560,5.7,12.9,0.439,4.1,10.1,0.408,1.5,2.8,0.554,1,1.2,0.792,0.6,4,4.6,2.1,0.6,0.4,1.3,2.6,16.5
520,Jalen Suggs,PG,20,ORL,47,44,1291,5.5,15.1,0.362,1.1,5.4,0.214,4.3,9.8,0.443,3.5,4.5,0.773,0.7,4,4.7,5.7,1.6,0.5,4,3.9,15.6
521,Craig Sword,SG,28,WAS,3,0,19,5.7,7.6,0.75,0,1.9,0,5.7,5.7,1,0,0,,0,0,0,1.9,7.6,0,1.9,13.3,11.4
522,Keifer Sykes,PG,28,IND,32,11,566,4.4,12.1,0.363,1.7,5.7,0.3,2.7,6.4,0.42,1,1.1,0.882,0.5,2.4,2.9,3.9,0.8,0.3,2.1,3.2,11.4
523,Jae'Sean Tate,SF,26,HOU,76,75,2000,6.4,12.9,0.499,1.1,3.6,0.308,5.3,9.3,0.572,2.3,3.3,0.709,2.3,5.1,7.4,3.9,1.3,0.7,2.4,5,16.2
524,Jayson Tatum,SF,23,BOS,75,75,2705,9.3,20.6,0.45,3,8.6,0.348,6.3,12.1,0.521,5.3,6.2,0.852,1.1,6.9,8,4.4,1,0.7,2.8,2.3,26.8
525,Terry Taylor,SG,22,IND,31,7,660,6.9,11,0.629,0.7,1.9,0.343,6.3,9.1,0.689,1.7,2.5,0.696,4.7,4,8.7,2.1,0.7,0.4,1.2,3.1,16.3
526,Garrett Temple,SG,35,NOP,56,16,1059,3.7,9.6,0.383,1.9,5.9,0.32,1.8,3.6,0.486,1,1.4,0.683,1,3.8,4.8,2.5,1.4,0.8,1.4,2.7,10.2
527,Emanuel Terry,PF,25,PHO,3,0,18,0,10,0,0,0,,0,10,0,0,0,,16,14,30,4,2,0,10,8,0
528,Tyrell Terry,PG,21,MEM,2,0,3,12,12,1,0,0,,12,12,1,0,0,,0,0,0,0,0,0,0,12,24
529,Jon Teske,C,24,MEM,3,0,8,0,4.5,0,0,0,,0,4.5,0,0,9,0,0,9,9,4.5,4.5,0,0,4.5,0
530,Daniel Theis,C,29,TOT,45,25,919,5.4,10.6,0.509,1.2,4,0.291,4.2,6.6,0.643,1.8,2.6,0.682,2,6.3,8.4,1.4,0.8,1.2,1.8,4.3,13.7
531,Brodric Thomas,SG,25,BOS,11,0,52,4.8,11.1,0.438,0.7,5.5,0.125,4.2,5.5,0.75,2.1,3.5,0.6,1.4,4.2,5.5,5.5,0,0.7,3.5,4.2,12.5
532,Cam Thomas,SG,20,BRK,65,2,1166,6.7,15.4,0.432,1.4,5.3,0.267,5.2,10.1,0.518,2.7,3.2,0.835,0.5,4.5,5,2.4,1,0.2,1.7,2,17.4
533,Isaiah Thomas,PG,32,TOT,19,1,307,6.8,17.6,0.387,2.8,8.8,0.32,4,8.8,0.453,2.3,2.8,0.833,0.4,2.8,3.2,3.8,0.7,0.6,1.6,3.4,18.8
